monitoring_location_id,organization_id,organization_name,provider,monitoring_location_name,monitoring_location_type,huc8,latitude,longitude,horizontal_datum,country_code,state_code,county_code,drainage_area_value,drainage_area_unit,source_file
21NMEX_WQX-31RIndio000.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito de los Indios above San Antonio Creek - 31RIndio000.2,River/Stream,13020202,35.9649150000,-106.4867560000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RPNegr000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito Penas Negras at NM Hwy 126 - 31RPNegr000.1,River/Stream,13020202,35.9660100000,-106.7870200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RPNegr003.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito Penas Negras 3.2km above Rio de las Vacas - 31RPNegr003.2,River/Stream Perennial,13020202,35.9725500000,-106.7695800000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RPalom000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito de las Palomas at NM Hwy 126 - 31RPalom000.1,River/Stream,13020202,35.9924700000,-106.7944300000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RPalom001.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito de las Palomas 1.6km abv Rio de las Vacas,River/Stream Perennial,13020202,36.0016200000,-106.7872900000,NAD83,US,35,039,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RVacas000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio de Las Vacas above the Rio Cebolla - 31RVacas000.1,River/Stream,13020202,35.8195500000,-106.7881200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RVacas023.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio de Las Vacas at SR 126 - 31RVacas023.7,River/Stream,13020202,35.9973800000,-106.8072300000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31RValle010.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Vallecito Ck  at Forest Rd 269 - 31RValle010.2,River/Stream Intermittent,13020202,35.6734400000,-106.6621900000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Redond000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Redondo Creek Above Sulphur Creek - 31Redond000.1,River/Stream,13020202,35.8760100000,-106.6331200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Redond001.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Redondo Creek above VCNP boundary - 31Redond001.2,River/Stream,13020202,35.8727000000,-106.6215000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31SanAnt000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,San Antonio Creek abv confl w East Fork Jemez River - 31SanAnt000.1,River/Stream,13020202,35.8285600000,-106.6436800000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31SanAnt017.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,San Antonio Creek abv VCNP boundary - 31SanAnt017.7,River/Stream,13020202,35.9625500000,-106.6178000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Sulphu000.1,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Sulphur Creek above San Antonio Creek - 31Sulphu000.1,River/Stream,13020202,35.8662500000,-106.6388900000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Sulphu000.9,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Sulphur Creek at Hwy 4 - 31Sulphu000.9,River/Stream Perennial,13020202,35.8722300000,-106.6377200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Sulphu001.3,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Sulphur Creek Above Redondo Creek - 31Sulphu001.3,River/Stream,13020202,35.8760500000,-106.6332200000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-31Vallec012.2,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Vallecito Ck abv Ponderosa diversion - 31RValle012.2,River/Stream,13020202,35.6866300000,-106.6535700000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-33LaJara009.7,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,La Jara Creek abv irrigation diversion - 33LaJara009.7,River/Stream,13020204,36.1276900000,-106.9042500000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-33Nacimi008.0,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Nacimiento Creek at Eureka Rd. - 33Nacimi008.0,River/Stream,13020204,36.0024800000,-106.9075800000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-33RLeche001.3,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito Leche at Cubita Rd. - 33RLeche001.3,River/Stream Intermittent,13020204,36.0130500000,-106.9700000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-33RLeche002.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rito Leche at Hwy 126 - 33RLeche002.6,River/Stream,13020204,36.0158800000,-106.9486000000,NAD83,US,35,043,,,wqp_stations_nm_stream_nutrients.csv
21NMEX_WQX-33RPuerc004.6,21NMEX_WQX,NM Environmental Dept./SWQB,STORET,Rio Puerco at I-25 - 33RPuerc004.6,River/Stream Intermittent,13020204,34.4100000000,-106.8500000000,NAD83,US,35,053,,,wqp_stations_nm_stream_nutrients.csv
